Wrong_Name,Correct_Name
A Ashish Reddy,Ashish Reddy
A Badoni,Ayush Badoni
A Chandila,Ajit Chandila
A Chopra,Aakash Chopra
A Choudhary,Aniket Choudhary
A Dananjaya,Akila Dananjaya
A Flintoff,Andrew Flintoff
A Kamboj,Anshul Kamboj
A Kumble,Anil Kumble
A Manohar,Abhinav Manohar
A Mishra,Amit Mishra
A Mithun,Abhimanyu Mithun
A Mukund,Abhinav Mukund
A Nehra,Ashish Nehra
A Nel,Andre Nel
A Nortje,Anrich Nortje
A Raghuvanshi,Angkrish Raghuvanshi
A Singh,Anureet Singh
A Symonds,Andrew Symonds
A Tomar,A Tomar
A Uniyal,A Uniyal
A Zampa,Adam Zampa
AA Bilakhia,Azhar Bilakhia
AA Chavan,Ankeet Chavan
AA Jhunjhunwala,Abhishek Jhunjhunwala
AA Kazi,Abrar Kazi
AA Kulkarni,AA Kulkarni
AA Noffke,AA Noffke
AB Agarkar,Ajit Agarkar
AB Barath,AB Barath
AB Dinda,Ashok Dinda
AB McDonald,Andrew McDonald
AB de Villiers,AB de Villiers
AC Blizzard,AC Blizzard
AC Gilchrist,Adam Gilchrist
AC Thomas,AC Thomas
AC Voges,AC Voges
AD Hales,Alex Hales
AD Mascarenhas,Dimitri Mascarenhas
AD Mathews,Angelo Mathews
AD Nath,AD Nath
AD Russell,Andre Russell
AF Milne,Adam Milne
AG Murtaza,AG Murtaza
AG Paunikar,AG Paunikar
AJ Finch,Aaron Finch
AJ Hosein,AJ Hosein
AJ Turner,AJ Turner
AJ Tye,Andrew Tye
AK Markram,Aiden Markram
AL Menaria,AL Menaria
AM Nayar,Abhishek Nayar
AM Rahane,Ajinkya Rahane
AM Salvi,AM Salvi
AN Ahmed,AN Ahmed
AN Ghosh,AN Ghosh
AP Dole,AP Dole
AP Majumdar,AP Majumdar
AP Tare,Aditya Tare
AR Bawne,AR Bawne
AR Patel,Axar Patel
AS Joseph,Alzarri Joseph
AS Rajpoot,Ankit Rajpoot
AS Raut,AS Raut
AS Roy,AS Roy
AS Yadav,Ayush Badoni
