player,bat_runs,bat_balls,bat_dismissals,bat_matches,bat_fours,bat_sixes,boundary_runs,bat_sr,bat_avg,boundary_pct,pp_sr,death_sr,bowl_runs,bowl_balls,bowl_wickets,bowl_matches,bowl_economy,bowl_sr,pp_economy,death_economy,role
A Tomar,4.0,8.0,1.0,1.0,1.0,0.0,4.0,50.0,4.0,100.0,50.0,,,,,,,,,,Batter
A Uniyal,4.0,7.0,1.0,2.0,0.0,0.0,0.0,57.14,4.0,0.0,,57.14,67.0,36.0,3.0,2.0,11.17,12.0,11.0,9.0,Bowler
AA Kulkarni,9.0,8.0,2.0,2.0,2.0,0.0,8.0,112.5,4.5,88.89,112.5,,,,,,,,,,Batter
AA Noffke,9.0,12.0,1.0,1.0,1.0,0.0,4.0,75.0,9.0,44.44,,,41.0,24.0,1.0,1.0,10.25,24.0,23.0,5.5,Bowler
AB Barath,42.0,43.0,2.0,3.0,5.0,1.0,26.0,97.67,21.0,61.9,128.57,40.0,,,,,,,,,Batter
AB de Villiers,5181.0,3487.0,125.0,170.0,414.0,253.0,3174.0,148.58,41.45,61.26,117.62,215.46,,,,,,,,,WK-Batter
AC Blizzard,120.0,91.0,7.0,7.0,21.0,2.0,96.0,131.87,17.14,80.0,128.57,,,,,,,,,,Batter
AC Thomas,20.0,19.0,2.0,4.0,1.0,1.0,10.0,105.26,10.0,50.0,,105.26,416.0,315.0,16.0,15.0,7.92,19.69,6.53,10.43,Bowler
AC Voges,181.0,143.0,6.0,7.0,15.0,3.0,78.0,126.57,30.17,43.09,77.78,151.79,76.0,54.0,1.0,7.0,8.44,54.0,13.0,5.0,Batter
AD Nath,90.0,99.0,10.0,10.0,7.0,2.0,40.0,90.91,9.0,44.44,91.67,88.0,,,,,,,,,Batter
AG Murtaza,10.0,14.0,1.0,3.0,1.0,0.0,4.0,71.43,10.0,40.0,,71.43,322.0,264.0,12.0,12.0,7.32,22.0,4.0,13.5,Bowler
AG Paunikar,49.0,61.0,5.0,5.0,9.0,0.0,36.0,80.33,9.8,73.47,80.33,,,,,,,,,,Batter
AJ Hosein,16.0,11.0,0.0,1.0,1.0,1.0,10.0,145.45,16.0,62.5,,145.45,41.0,24.0,1.0,1.0,10.25,24.0,10.33,,Bowler
AJ Turner,24.0,31.0,5.0,6.0,0.0,2.0,12.0,77.42,4.8,50.0,,36.84,,,,,,,,,Batter
AL Menaria,401.0,367.0,22.0,23.0,24.0,18.0,204.0,109.26,18.23,50.87,100.0,116.87,144.0,110.0,3.0,12.0,7.85,36.67,6.88,14.4,Batter
AM Salvi,,,,,,,,,,,,,205.0,150.0,7.0,7.0,8.2,21.43,7.18,9.2,Bowler
AN Ahmed,36.0,27.0,1.0,6.0,4.0,1.0,22.0,133.33,36.0,61.11,,133.33,515.0,344.0,15.0,17.0,8.98,22.93,8.13,11.54,Bowler
AN Ghosh,7.0,8.0,2.0,2.0,1.0,0.0,4.0,87.5,3.5,57.14,100.0,,,,,,,,,,Batter
AP Dole,34.0,23.0,2.0,2.0,3.0,1.0,18.0,147.83,17.0,52.94,,157.14,114.0,66.0,5.0,3.0,10.36,13.2,12.4,11.0,Bowler
AP Majumdar,87.0,77.0,4.0,4.0,7.0,2.0,40.0,112.99,21.75,45.98,140.0,66.67,,,,,,,,,Batter
AR Bawne,12.0,12.0,0.0,1.0,1.0,0.0,4.0,100.0,12.0,33.33,,100.0,,,,,,,,,Batter
AS Raut,194.0,172.0,11.0,16.0,13.0,7.0,94.0,112.79,17.64,48.45,116.67,111.11,45.0,30.0,0.0,5.0,9.0,,,6.5,Batter
AS Roy,26.0,24.0,3.0,6.0,3.0,0.0,12.0,108.33,8.67,46.15,80.0,137.5,191.0,136.0,6.0,9.0,8.43,22.67,10.71,7.2,Bowler
AT Carey,32.0,29.0,2.0,3.0,0.0,1.0,6.0,110.34,16.0,18.75,,110.34,,,,,,,,,Batter
AUK Pathan,39.0,26.0,5.0,7.0,5.0,2.0,32.0,150.0,7.8,82.05,233.33,116.67,63.0,39.0,0.0,3.0,9.69,,,11.2,Bowler
Aakash Chopra,53.0,75.0,5.0,6.0,7.0,0.0,28.0,70.67,10.6,52.83,65.85,50.0,,,,,,,,,Batter
Aaron Finch,2092.0,1696.0,84.0,90.0,214.0,78.0,1324.0,123.35,24.9,63.29,110.29,153.26,67.0,43.0,1.0,5.0,9.35,43.0,3.0,5.14,Batter
Abdul Basith,1.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0,1.0,0.0,,100.0,,,,,,,,,Batter
Abdul Samad,743.0,506.0,41.0,51.0,45.0,50.0,480.0,146.84,18.12,64.6,100.0,164.9,119.0,56.0,2.0,6.0,12.75,28.0,,19.5,Batter
Abdur Razzak,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,29.0,12.0,0.0,1.0,14.5,,,,Bowler
Abhimanyu Mithun,34.0,26.0,5.0,6.0,4.0,1.0,22.0,130.77,6.8,64.71,,135.71,477.0,288.0,8.0,16.0,9.94,36.0,9.55,11.92,Bowler
Abhinav Manohar,292.0,243.0,19.0,20.0,23.0,14.0,176.0,120.16,15.37,60.27,66.67,149.49,,,,,,,,,Batter
Abhinav Mukund,19.0,23.0,2.0,2.0,1.0,0.0,4.0,82.61,9.5,21.05,87.5,0.0,,,,,,,,,Batter
Abhishek Jhunjhunwala,217.0,218.0,14.0,15.0,19.0,5.0,106.0,99.54,15.5,48.85,66.67,130.19,130.0,85.0,1.0,10.0,9.18,85.0,9.4,12.0,Batter
Abhishek Nayar,672.0,588.0,39.0,50.0,55.0,20.0,340.0,114.29,17.23,50.6,85.53,155.0,323.0,229.0,9.0,19.0,8.46,25.44,10.0,9.0,All-rounder
Abhishek Sharma,1816.0,1167.0,67.0,74.0,174.0,101.0,1302.0,155.61,27.1,71.7,153.31,146.67,509.0,337.0,11.0,32.0,9.06,30.64,9.0,17.67,All-rounder
Abishek Porel,661.0,453.0,29.0,29.0,65.0,27.0,422.0,145.92,22.79,63.84,146.3,170.59,,,,,,,,,Batter
Abrar Kazi,,,,,,,,,,,,,21.0,12.0,1.0,1.0,10.5,12.0,,,Bowler
Adam Gilchrist,2069.0,1555.0,76.0,80.0,239.0,92.0,1508.0,133.05,27.22,72.89,128.24,196.88,0.0,1.0,1.0,1.0,0.0,1.0,,0.0,Batter
Adam Milne,23.0,31.0,5.0,6.0,0.0,1.0,6.0,74.19,4.6,26.09,,77.27,339.0,207.0,9.0,10.0,9.83,23.0,9.88,9.58,Bowler
Adam Zampa,15.0,25.0,5.0,5.0,1.0,0.0,4.0,60.0,3.0,26.67,,54.55,656.0,469.0,32.0,22.0,8.39,14.66,6.86,11.07,Bowler
