match_id,venue,toss_winner_is_t1,toss_decision,t1_batting_score,t1_bowling_score,t2_batting_score,t2_bowling_score,t1_h2h_wins,winner
335982,M. Chinnaswamy Stadium,1,field,90.3003,34.885,87.7763,29.1588,0,0
335983,Punjab Cricket Association IS Bindra Stadium,0,bat,88.7465,34.7639,95.3358,31.3849,0,0
335984,Arun Jaitley Stadium,0,bat,93.3385,34.3541,94.5455,35.131,0,1
335985,Wankhede Stadium,1,bat,85.0417,38.733,90.4662,34.8255,0,0
335986,Eden Gardens,0,bat,89.454,29.1588,88.6057,35.3953,0,1
335987,Sawai Mansingh Stadium,0,bat,96.033,35.131,88.4917,34.7639,0,1
335988,Rajiv Gandhi International Stadium,1,bat,90.8312,35.3953,93.3385,32.6216,0,0
335989,MA Chidambaram Stadium,0,field,95.3358,31.3849,87.6834,37.0279,0,1
335990,Rajiv Gandhi International Stadium,0,field,90.6671,35.3953,97.3074,35.131,0,0
335991,Punjab Cricket Association IS Bindra Stadium,0,field,86.2645,35.7179,87.861,37.0279,0,1
335992,M. Chinnaswamy Stadium,0,field,89.1614,38.8065,88.1742,38.0693,0,0
335993,MA Chidambaram Stadium,0,bat,88.6966,31.3849,89.454,29.1588,0,1
335994,Dr DY Patil Sports Academy,0,field,88.5652,38.3481,86.3465,35.2388,0,0
335995,Punjab Cricket Association IS Bindra Stadium,0,bat,88.1956,35.7179,95.0358,32.6216,0,1
335996,M. Chinnaswamy Stadium,0,bat,90.037,37.2157,96.752,28.5197,0,0
335997,Eden Gardens,1,bat,87.4838,29.1588,90.0424,38.6053,0,0
335998,Arun Jaitley Stadium,0,field,93.9058,31.5452,89.5194,36.6314,0,1
335999,Rajiv Gandhi International Stadium,0,field,90.5055,35.3099,89.7902,35.7179,0,0
336000,Sawai Mansingh Stadium,1,bat,91.3319,38.0693,93.2082,31.936,0,1
336001,MA Chidambaram Stadium,1,bat,90.5965,33.2367,98.1881,30.8299,0,0
336034,M. Chinnaswamy Stadium,0,field,89.2546,40.6714,89.4408,35.6199,0,1
336003,Punjab Cricket Association IS Bindra Stadium,1,bat,91.1096,35.7179,91.2273,31.936,0,1
336004,Dr DY Patil Sports Academy,0,field,88.9164,37.8222,99.6358,30.8299,0,1
336005,Sawai Mansingh Stadium,0,bat,90.4422,38.0693,90.5965,33.2367,0,1
336006,M. Chinnaswamy Stadium,0,field,92.0377,40.6714,90.3645,35.7179,0,0
336007,MA Chidambaram Stadium,0,field,90.2293,34.9274,90.5904,35.3721,0,0
336008,Dr DY Patil Sports Academy,1,field,88.8814,36.6178,91.3319,38.0693,0,1
336009,Arun Jaitley Stadium,0,field,99.8644,31.6782,89.8963,32.9129,1,0
336010,Eden Gardens,1,bat,91.0739,31.936,82.5795,39.6516,1,1
336011,Sawai Mansingh Stadium,1,field,88.4786,38.0693,90.8131,35.1159,1,1
336013,MA Chidambaram Stadium,0,field,89.8963,32.9129,90.248,35.7179,1,1
336014,Rajiv Gandhi International Stadium,0,bat,88.6978,34.7351,93.5109,30.0862,0,0
